num,date,duration,name,note,link,media,mediaurl,credit,caption
20,9/10/2017,4,Hurricane Irma,"Millions of homes are left without power as the center of Hurricane Irma hits mainland Florida, just south of Naples.",https://en.wikipedia.org/wiki/Hurricane_Irma,img,Irma_Jose_and_Katia.jpg,"By NOAA National Environmental Satellite, Data, and Information Service (NESDIS) - https://www.nesdis.noaa.gov/content/goes-16-sees-three-hurricanes-atlantic, Public Domain, https://commons.wikimedia.org/w/index.php?curid=67039446","Three simultaneously active hurricanes on September 7. From left to right: Katia, Irma, and Jose, the first occurrence since 2010."
21,9/19/2017,1,Trump's 2017 U.N. speech,"President Trump makes his first appearance at the United Nations, during which he claims the US may 'have no choice but to totally destroy North Korea'.",https://www.politico.com/story/2017/09/19/trump-un-speech-2017-full-text-transcript-242879,video,//players.brightcove.net/1155968404/r1WF6V0Pl_default/index.html?videoId=5580972729001,,Full video: Trump UN Speech 2017
22,10/1/2017,1,Las Vegas shooting,Las Vegas is the site of the first professional sports event in the city's history when the Vegas Golden Knights host the Arizona Coyotes at T-Mobile Arena there is a pre-game ceremony before puck drop to honor the victims of the mass shooting that had occurred nine days earlier.,https://en.wikipedia.org/wiki/2017_Las_Vegas_shooting,img,View_from_the_Foundation_Room_(24089601122).jpg,"By Jennifer Morrow from San Francisco - View from the Foundation Room, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=63068688",At Mandalay Bay
23,10/5/2017,20,Me Too movement,"The Me Too (or #MeToo) movement, with variations of related local or international names, is a social movement against sexual abuse and sexual harassment towards women, where people publicize allegations of sex crimes. The phrase ""Me Too"" was initially used in this context on social media in 2006, on Myspace, by sexual harassment survivor and activist Tarana Burke.",https://en.wikipedia.org/wiki/Me_Too_movement,img,Feminism_and_Media_2.jpg,"By Donna Rotunno, Attribution, https://commons.wikimedia.org/w/index.php?curid=95202136",Me Too movement sign at a march.
24,10/31/2017,1,2017 New York City truck attack,"A flatbed pickup truck is driven into pedestrians along West Street in Lower Manhattan, New York City, causing at least eight deaths and multiple injuries.",https://en.wikipedia.org/wiki/2017_New_York_City_truck_attack,img,2017_NYC_Truck_Attack_Home_Depot_Truck.jpg,"By Gh9449 - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=63791131","The Home Depot rental truck used by perpetrator Sayfullo Habibullaevich Saipov during the 2017 Lower Manhattan attack, the morning after the incident."
25,11/5/2017,1,Sutherland Springs church shooting,"26-year-old Devin Kelley kills 26 people and injures 20 in a Baptist church in Sutherland Springs, Texas. It is the 5th deadliest shooting in United States history, and the deadliest in a place of worship.",https://en.wikipedia.org/wiki/Sutherland_Springs_church_shooting,shooting,,,
26,11/13/2017,2,Rancho Tehama Reserve shootings,"A gunman embarks on a shooting spree across Rancho Tehama Reserve, California, killing a total of four people and wounding twelve others before being shot and killed by police. He had earlier murdered his wife in their home.",https://en.wikipedia.org/wiki/Rancho_Tehama_Reserve_shootings,shooting,,,
27,12/8/2017,33,2017 California wildfires,"A state of emergency is declared in California as the worst wildfires on record devastate homes and businesses in the region, forcing the evacuation of 200,000 people.",https://en.wikipedia.org/wiki/2017_California_wildfires,img,California_Wildfires_20170708.jpg,"By NASA - https://earthobservatory.nasa.gov/NaturalHazards/view.php?id=90547&amp;src=twitter-nh, Public Domain, https://commons.wikimedia.org/w/index.php?curid=60824644","On July 8, 2017, the Moderate Resolution Imaging Spectroradiometer (MODIS) on NASA’s Aqua satellite captured this image of smoke streaming from the Alamo fire. Actively burning areas, detected by MODIS’s thermal bands, are outlined in red. Through July 10, 2017, the fire had charred roughly 30,000 acres (100 square kilometers) in San Luis Obispo County, California. Meanwhile, the Whittier fire, near Cachuma Lake (Santa Barbara County) had scorched 10,000 acres."
28,12/11/2017,1,2017 New York City attempted bombing,"A man is arrested after an explosion at New York's Port Authority Bus Terminal, described by Mayor Bill de Blasio as an ""attempted terrorist attack"".",https://en.wikipedia.org/wiki/2017_New_York_City_attempted_bombing,img,Times_Sq_passage_vc.jpg,"By The All-Nite Images from NY, NY, USA - Manhattan, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=39485952",Passage between the 7 and 8 Ave Subway lines at Times Square.
29,12/22/2017,1,California Man Planned Christmas Attack On San Francisco's Pier 39,"Everitt Aaron Jameson, a 25-year-old former marine, is arrested by the FBI on suspicion of planning a terror attack in the Pier 39 area of San Francisco over Christmas.",https://www.npr.org/sections/thetwo-way/2017/12/23/573120846/fbi-calif-man-planned-christmas-attack-on-san-franciscos-pier-39,incident,,,
30,1/13/2018,1,Hawaii Emergency Management Agency,"The Hawaii Emergency Management Agency sends a false alarm warning of an incoming ballistic missile attack, causing widespread panic across the state.",https://en.wikipedia.org/wiki/Hawaii_Emergency_Management_Agency,incident,,,
31,1/25/2018,26,2018 NRA boycott,"In the wake of concerns about gun control, a number of major companies announce they are severing ties with the National Rifle Association (NRA) – including Alamo, Allied Van Lines, Avis Rent a Car, Budget Rent a Car, Delta, Enterprise, First National Bank of Omaha, Hertz, Met Life, National, SimpliSafe, Symantec, Teladoc, and United.",https://en.wikipedia.org/wiki/2018_NRA_boycott,gun-control,,,
32,2/14/2018,1,Stoneman Douglas High School shooting,"A mass shooting occurs at Marjory Stoneman Douglas High School in Parkland, Florida, resulting in 17 passings. It is the deadliest high school shooting in the United States, surpassing the 1999 Columbine High School massacre.",https://en.wikipedia.org/wiki/Stoneman_Douglas_High_School_shooting,img,Cruz-floor2.jpg,"By Source, Fair use, https://en.wikipedia.org/w/index.php?curid=64999869",CCTV still showing the shooter on the second floor of the building.
33,3/7/2018,1,Florida Governor Signs Package Of New Gun Restrictions,Florida passes a law by 67–50 votes to raise the age to buy a gun from 18 to 21 after the Marjory Stoneman Douglas High School shooting.,https://www.npr.org/sections/thetwo-way/2018/03/09/592393010/florida-gov-rick-scott-signs-gun-package,shooting,,,
34,3/26/2018,1,Hart family crash,"Six children are killed by their adoptive mothers, Jennifer and Sarah Hart, when their SUV intentionally drives over a California cliff in a mass murder-suicide. Both perpetrators were known to have abused their six children before the crash.",https://en.wikipedia.org/wiki/Hart_family_crash,incident,,,
35,4/3/2018,1,YouTube headquarters shooting,"Three people suffer gunshot wounds when a female shooter, Nasim Najafi Aghdam, attacks the YouTube headquarters in California, before killing herself.",https://en.wikipedia.org/wiki/YouTube_headquarters_shooting,img,901_Cherry_Avenue.jpg,"By Coolcaesar - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=57865545","This office building at 901 Cherry Avenue in San Bruno, California was home to the headquarters of YouTube at the time this photograph was taken. Photographed by user Coolcaesar on April 2, 2017 in San Bruno, California."
36,4/10/2018,1,Mark Zuckerberg’s Senate hearing,"Facebook founder and CEO Mark Zuckerberg is questioned in a joint session of several US senate committees, after the revelation that 87 million people had their private information accessed by Cambridge Analytica.",https://www.theguardian.com/technology/2018/apr/11/mark-zuckerbergs-testimony-to-congress-the-key-moments,video,https://www.youtube.com/embed/EgI_KAkSyCw,,Zuckerberg's Senate hearing highlights in 10 minutes
37,4/22/2018,1,Nashville Waffle House shooting,"Four people are killed at a Waffle House restaurant in Nashville, Tennessee, when a naked gunman shoots them with a semi-automatic rifle before fleeing on foot. The gunman is captured the next day after a manhunt.",https://en.wikipedia.org/wiki/Nashville_Waffle_House_shooting,shooting,,,
38,5/4/2018,1,U.S. Unemployment Lowest Since 2000,"The national unemployment rate hits 3.9 percent, the lowest rate since 2000.",https://www.npr.org/sections/thetwo-way/2018/05/04/608442955/u-s-unemployment-drops-to-3-9-percent-jobs-report-shows-gain-of-164-000-jobs,stats,,,
39,5/18/2018,1,Santa Fe High School shooting,A school shooting takes place at Santa Fe High School in Texas. Eight students and two teachers are killed and ten other people are injured.,https://en.wikipedia.org/wiki/Santa_Fe_High_School_shooting,shooting,,,
40,6/13/2018,17,Protests against the Trump administration family separation policy,Hundreds of thousands of people demonstrate across all 50 U.S. states against family separations carried out by the United States.,https://en.wikipedia.org/wiki/Protests_against_the_Trump_administration_family_separation_policy,img,Stop_Separating_Immigrant_Families_Press_Conference_and_Rally_Chicago_Illinois_6-5-18.jpg,"By Charles Edward Miller - https://www.flickr.com/photos/74207111@N00/28758035048/, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=70009139","Stop Separating Immigrant Families Press Conference and Rally, Chicago. (June 5, 2018)"
41,6/19/2018,1,Shooting of Antwon Rose Jr.,"On the same day that the United States announces that it will withdraw from the United Nations Human Rights Council, Antwon Rose Jr. a 17-year-old African-American man is shot and killed by white Pittsburgh police officer Michael Rosfeld.",https://en.wikipedia.org/wiki/Shooting_of_Antwon_Rose_Jr.,img,Antwon_Rose_Jr.jpg,"By Source (WP:NFCC#4), Fair use, https://en.wikipedia.org/w/index.php?curid=57741071","Antwon Rose II in Pittsburgh, Pennsylvania."
42,6/28/2018,1,Capital Gazette shooting,"Five people are killed in a mass shooting in the newsroom of The Capital newspaper in Annapolis, Maryland.",https://en.wikipedia.org/wiki/Capital_Gazette_shooting,shooting,,,
43,7/16/2018,1,Trump Putin private meeting,"President Trump meets with Russian President Vladimir Putin for private talks in the Finnish capital Helsinki. In a press conference afterwards, Trump praises Russia and Putin, drawing sharp criticism from both Republicans and Democrats alike. Senator John McCain describes it as ""one of the most disgraceful performances by an American president in memory.""",https://en.wikipedia.org/wiki/2018_Russia%E2%80%93United_States_summit#Private_meeting,img,"Vladimir_Putin_&_Donald_Trump_in_Helsinki,_16_July_2018.jpg","By Kremlin.ru, CC BY 4.0, https://commons.wikimedia.org/w/index.php?curid=70907150",С Президентом Соединённых Штатов Америки Дональдом Трампом. / With President of the United States of America Donald Trump.
44,7/29/2018,12,2018 California wildfires,"Wildfires in northern California continue to rage across vast swathes of land, destroying hundreds of structures and causing several deaths.",https://en.wikipedia.org/wiki/2018_California_wildfires,img,"Woolsey_Fire_evacuation_from_Malibu_on_November_9,_2018.jpg","By Cyclonebiskit - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=74297315",The Woolsey Fire encroaching on Malibu on November 9
45,8/26/2018,1,Jacksonville Landing shooting,"A mass shooting occurs during a Madden NFL 19 tournament at the Jacksonville Landing in Jacksonville, Florida, resulting in three fatalities including the perpetrator.",https://en.wikipedia.org/wiki/Jacksonville_Landing_shooting,img,"The_Jacksonville_Landing,_Jacksonville_FL,_Southeast_view_20160706_1.jpg","By DXR - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=50281867","A southeast view of the Jacksonville Landing, Jacksonville, Florida"
46,10/6/2018,1,Brett Kavanaugh Supreme Court nomination,"The Senate confirms Brett Kavanaugh's Supreme Court nomination by a vote of 50–48, amid controversy over sexual assault claims against him.",https://en.wikipedia.org/wiki/Brett_Kavanaugh_Supreme_Court_nomination,img,Protest_against_Brett_Kavanaugh_in_Seattle_6_Oct_2018.jpg,"By Ryan1783 - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=73437999","A protest against the confirmation of Brett Kavanaugh as Associate Justice of the United States was held in Seattle, Washington on 6 October 2018."
47,10/22/2018,10,United States mail bombing attempts,"After a bomb was found at the home of George Soros in the suburbs of New York, suspected explosive devices are also sent to former US President Barack Obama and ex-Secretary of State Hillary Clinton. The latter devices are intercepted by technicians who screen mail sent to former US officials. The Time Warner building in New York (home to news broadcaster CNN) is also evacuated, after a package containing an explosive and suspicious powder is found addressed to former CIA Director John Brennan. Additional suspicious packages, addressed to Democratic Representative Maxine Waters and former Attorney General Eric Holder, are investigated by law enforcement.",https://en.wikipedia.org/wiki/October_2018_United_States_mail_bombing_attempts,img,Suspicious-package-exterior-oct-2018.jpg,"By FBI - https://www.fbi.gov/news/pressrel/press-releases/statement-on-the-fbis-investigation-of-suspicious-packages[1], Public Domain, https://commons.wikimedia.org/w/index.php?curid=73853521",FBI’s Investigation of Suspicious Packages: https://www.fbi.gov/news/pressrel/press-releases/statement-on-the-fbis-investigation-of-suspicious-packages
48,10/27/2018,1,Pittsburgh synagogue shooting,"A mass shooting occurs at the Tree of Life synagogue in Pittsburgh, Pennsylvania, leaving 11 congregants dead. A 46-year-old male suspect is arrested and charged on making anti-semitic chants.",https://en.wikipedia.org/wiki/Pittsburgh_synagogue_shooting,img,TreeofLife_Or_LSimchasynagogue_facade.jpg,"By daveynin from United States - People paid for the respect, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=74877748","People pay their respects at a memorial to the victims of a mass shooting in front of the Tree of Life - Or L'Simcha Congregation in Squirrel Hill, Pittsburgh, Pennsylvania, on November 4, 2018."
49,10/29/2018,3,800 U.S. soldiers deployed to the Mexico border,"800 U.S. soldiers are deployed to the Mexico–United States border as a part of Operation Faithful Patriot, reinforcing the border against incoming Central American migrant caravans.",https://en.wikipedia.org/wiki/Operation_Faithful_Patriot,img,NORTHCOM_Supports_Southwest_Border_Security.jpg,"By U.S. Government - https://www.dvidshub.net/image/4853209/northcom-supports-southwest-border-security, Public Domain, https://commons.wikimedia.org/w/index.php?curid=74861035","U.S. Air Force General Terrance J. O'Shaughnessy, Commander of the North American Aerospace Defense Command and U.S. Northern Command provides guidance to Department of Defense personnel, in coordination with Customs and Border Protection liaison officers and other supporting interagency partners, during a planning and operational update briefing about mission-enhancing DoD capabilities that will be provided in support of the Department of Homeland Security, Oct. 28, 2018. USNORTHCOM serves as the synchronizer of DoD forces providing mission-enhancing capabilities in support of DHS and CBP along the Southwest Border."
50,11/6/2018,1,2018 United States mid-term elections,"The Democrats gain 40 seats to take control of the House of Representatives, but lose two seats in the Senate.","https://en.wikipedia.org/wiki/United_States_elections,_2018",politic,,,
51,11/7/2018,1,Thousand Oaks shooting,"12 people and the perpetrator are killed in a shooting at the Borderline Bar and Grill, in Thousand Oaks, California, about 40 miles (65 km) north-west of Los Angeles.",https://en.wikipedia.org/wiki/Thousand_Oaks_shooting,img,Borderline_thousand_oaks.jpg,"By TOLocal - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=76432889",Flowers outside Borderline Bar & Grill following the 2018 mass shooting.
52,12/22/2018,56,2018–2019 United States federal government shutdown,A partial shutdown of the government begins after Congress fails to agree a budget.,https://en.wikipedia.org/wiki/2018%E2%80%932019_United_States_federal_government_shutdown,video,https://www.youtube.com/embed/A90yR-Nkwn8,,"Donald Trump meets with Nancy Pelosi and Chuck Schumer on December 11, 2018, stating ""I will be the one to shut it down."""
53,1/1/2019,1,Washington state gun law,Washington state bans all persons under 21 years of age from purchasing a semi-automatic assault rifle.,"https://en.wikipedia.org/wiki/Gun_laws_in_Washington#:~:text=Must%20be%2021%20to%20purchase,in%20the%20last%20five%20years.",gun-control,,,
